name,country,dept_name
"Computer Science Department, Brigham Young University, Provo, UT  84604, United States", United States,Computer Science Department
"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal", Portugal,
"Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal", Portugal,Department of Engineering
"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States", United States,Department of Chemical Engineering
"Task Committee Secretary and Lead Engineer, Operational Hydraulics Unit, Hydrology and Hydraulics (HandH) Bureau, South Florida Water Management District, 3301 Gun Club Rd., West Palm Beach, FL  33406, United States", United States,
"Dept. of Civil and Environmental Engineering, Brigham Young Univ., 430 Engineering Bldg., Provo, UT  84602, United States", United States,Dept. of Civil and Environmental Engineering
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States", United States,Department of Mechanical Engineering
"Pratt and Whitney, East Hartford, CT  06118, United States", United States,
"School of Communications, Brigham Young University, United States", United States,School of Communications
"Department of Communication, University of California, Santa Barbara, United States", United States,Department of Communication
"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States", United States,Dept. of Electrical and Computer Engineering
"Dept. of Power, Electronics and Com. Eng., Faculty of Technical Sciences, Novi Sad, Serbia", Serbia,Dept. of Power
"Dept. of Physics and Astronomy, Brigham Young University, Provo, UT, United States", United States,Dept. of Physics and Astronomy
"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States", United States, Department of Mechanical and Aerospace Engineering
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States", United States, Department of Electrical and Computer Engineering
"Brigham Young University, Provo, UT  84602, United States", United States,
"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States", United States,Department of Electrical and Computer Science
"Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia", Serbia,Department of Power
"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States", United States,Department of Physics and Astronomy
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States", United States,Department of Electrical and Computer Engineering
"School of Engineering, University of California, Santa Cruz, CA, United States", United States,School of Engineering
"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China", China,School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health
"Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States", United States,Department of Civil and Environmental Engineering
"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States", United States,Department of Chemistry and Biochemistry
"Brigham Young University, Provo, UT, United States", United States,
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT, United States", United States,Electrical and Computer Engineering Department
"Air Force Research Laboratory, Control Center of Excellence, Wpafb, Dayton, OH, United States", United States,
"Infoscitex Corporation, Dayton, OH, United States", United States,
"Miami Valley Aerospace Llc, Afrl, Wright-Patterson Afb, Dayton, OH, United States", United States,
"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States", United States,Department of Civil and Environmental Engineering
"Institute for Structural Mechanics, University of Stuttgart, Stuttgart, Germany", Germany,
"Fachgebiet Statik und Dynamik, Brandenburgische Technische Universität Cottbus-Senftenberg, Cottbus, Germany", Germany,
"Coreform LLC, OremUT, United States", United States,
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States", United States,
"Applied and Computational Mathematics, Brigham Young University, Provo, UT, United States", United States,
"Department of Electrical Engineering, Brigham Young University, Provo, UT, United States", United States,Department of Electrical Engineering
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Department of Electrical and Computer Engineering
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Department of Civil and Environmental Engineering
"Department of Marketing & Global Supply Chain Management, Marriott School of Business, Brigham Young University, 663 TNRB, Provo, UT  84602, United States", United States,Department of Marketing & Global Supply Chain Management
"University of Dayton, Dayton, OH  45410, United States", United States,
"NASA Goddard Space Flight Center, Greenbelt, MD  20771, United States", United States,
"National Institute of Standards and Technology, Gaithersburg, MD  20899, United States", United States,
"Department of Physics and Astronomy, Howard University, Washington, DC  20059, United States", United States,Department of Physics and Astronomy
"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States", United States,School for Engineering of Matter
"U.S. Army Research Laboratory, Aberdeen Proving Ground, MD  21005, United States", United States,
"Department of Materials Science and Engineering, North Carolina State University, Raleigh, NC  27695, United States", United States,Department of Materials Science and Engineering
"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States", United States,Department of Mechanical Engineering
"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States", United States,Department of Chemical
"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States", United States,Chemical Engineering Department
"Western Research Institute, 3474 North 3rd Street, Laramie, WY  82072, United States", United States,
"School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States", United States,School of Energy Resources
"School of Civil & Environmental Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States", United States,School of Civil & Environmental Engineering
"Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States", United States,Department of Chemical & Petroleum Engineering
"Brigham Young University Provo, Computer Science Department Computer Science Department, Utah, 84602, United States", United States, Computer Science Department Computer Science Department
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"National Chiao Tung University, Electrical and Computer Engineering, Hsinchu, Taiwan", Taiwan,
"Brigham Young University, Electrical and Computer EngineeringUT, United States", United States,
"Lafayette College, Easton, PA, United States", United States,
