affiliation,author_id
"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",57218202833
"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",7004904337
"Brigham Young University, Computer Science Department, Provo, UT, United States",7004904337
"Brigham Young University, Provo, UT, United States",7004904337
"Computer Science Department, Brigham Young University, Provo, UT  84602, United States",7004904337
"Computer Science Department, Brigham Young University, Provo, UT  84604, United States",7005513246
"Brigham Young University, Computer Science Department, Provo, UT, United States",7005513246
"Brigham Young University, Computer Science, United States",7005513246
"Brigham Young University, United States",7005513246
"Brigham Young University, Provo, UT, United States",7005513246
"Department of Computer Science, Brigham Young University, Provo, UT  84602, United States",7005513246
"Brigham Young University, Provo, UT  84602, United States",7005513246
"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal, Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal",6508306234
"INESC TEC, Department of Engineering, Universidade de Trás-os-Montes e Alto Douro, UTAD, Vila Real, 5001-801, Portugal",6508306234
"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States",9277159100
"Department of Chemical Engineering, Brigham Young University, Provo, Utah, United States",9277159100
"Department of Chemical Engineering, Ira A. Fulton College of Engineering and Technology, Brigham Young University, 350 Clyde Building, Provo, UT  84602, United States",9277159100
"Brigham Young University, Department of Civil and Environmental Engineering, United States",9277159100
"Brigham Young University, Provo, UT  84602, United States",9277159100
"Brigham Young University, Department of Chemical Engineering, 350 CB, Crabtree Building, Provo, UT  84602, United States",9277159100
"Brigham Young UniversityUT, United States",9277159100
"Brigham Young University, United States",9277159100
"Department of Chemical Engineering, 350 CB, Brigham Young University, Provo, UT  84602, United States",9277159100
"Brigham Young University, 350 Clyde Building, Provo, UT, United States",9277159100
"Department of Chemical Engineering, 350 Clyde Building, Brigham Young University, Provo, UT  84602, United States",9277159100
"Brigham Young University, Provo, UT, United States",9277159100
"Department of Chemical Engineering, Brigham Young University, 350 CB BYU, Provo, UT  84602, United States",9277159100
"Brigham Young University, 350 CB, Provo, UT  84602, United States",9277159100
"Department of Chemical Engineering, Brigham Young University, 350 CB, Provo, UT  84602, United States",9277159100
"Dept. of Chemical Engineering, Brigham Young Univ350 Clyde BldgProvo, UT  84602, United States",9277159100
"INESC-TEC Technology and Science, Campus da FEUP, Porto, Portugal, Department of Engineering, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, Portugal",6507358470
"Task Committee Secretary and Lead Engineer, Operational Hydraulics Unit, Hydrology and Hydraulics (HandH) Bureau, South Florida Water Management District, 3301 Gun Club RdWest Palm Beach, FL  33406, United States",53879700900
"Dept. of Civil and Environmental Engineering, Brigham Young Univ430 Engineering BldgProvo, UT  84602, United States",26642910500
"Dept. of Civil and Environment Engineering, Brigham Young Univ368 Clyde BldgProvo, UT  84602, United States",26642910500
"Civil and Environmental Engineering Dept, Brigham Young University, United States",26642910500
"Dept. of Civil and Environmental Engineering, Brigham Young Univ, 170 A Clyde Building, Provo, UT  84602, United States",26642910500
"Dept. of Civil and Environmental Engineering, Brigham Young Univ368 Clyde BldgProvo, UT  84602, United States",26642910500
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",57204031131
"Department of Mechanical Engineering, Brigham Young University, Provo, Utah, 84602, United States",57204031131
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",6602649851
"Brigham Young University, Department of Mechanical Engineering, 350 EB, Provo, UT  84602, United States",6602649851
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",6602649851
"Brigham Young University, Provo, UT  84602, United States",6602649851
"BYU Turbomachinery Research Laboratory, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",6602649851
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84062, United States",6602649851
"Department of Mechanical Engineering, Brigham Young University, Provo, Utah, 84602, United States",6602649851
"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States",6602649851
"Brigham Young University, 435 CTB, Provo, UT  84602, United States",6602649851
"435P CTB, Brigham Young University, Provo, UT  84602, United States",6602649851
"Mechanical Engineering Department, Brigham Young University, Provo, UT  84602, United States",6602649851
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  8460, United States",56830076500
"Brigham Young University, Provo, UT  84602, United States",56830076500
"Brigham Young University, United States",56830076500
"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States",56830076500
