keyword,author_id
Environment,57218202833
 Goal(s),57218202833
 Intelligent agents,57218202833
 Proficiency,57218202833
 Self-assessment,57218202833
 System,57218202833
Environment,7004904337
 Goal(s),7004904337
 Intelligent agents,7004904337
 Proficiency,7004904337
 Self-assessment,7004904337
 System,7004904337
Environment,7005513246
 Goal(s),7005513246
 Intelligent agents,7005513246
 Proficiency,7005513246
 Self-assessment,7005513246
 System,7005513246
Computer-aided engineering,57204031131
 Data-driven engineering,57204031131
Computer-aided engineering,6602649851
 Data-driven engineering,6602649851
Computer-aided engineering,56830076500
 Data-driven engineering,56830076500
Computer-aided engineering,57204029674
 Data-driven engineering,57204029674
Computer-aided engineering,57204032253
 Data-driven engineering,57204032253
Dating,57217149830
 Emerging adults,57217149830
 Mobile phones,57217149830
 Uses and gratifications,57217149830
Dating,57217149403
 Emerging adults,57217149403
 Mobile phones,57217149403
 Uses and gratifications,57217149403
Dating,57217145377
 Emerging adults,57217145377
 Mobile phones,57217145377
 Uses and gratifications,57217145377
Dating,57217146534
 Emerging adults,57217146534
 Mobile phones,57217146534
 Uses and gratifications,57217146534
Dating,57217147399
 Emerging adults,57217147399
 Mobile phones,57217147399
 Uses and gratifications,57217147399
Dating,57217147006
 Emerging adults,57217147006
 Mobile phones,57217147006
 Uses and gratifications,57217147006
Dating,57210571665
 Emerging adults,57210571665
 Mobile phones,57210571665
 Uses and gratifications,57210571665
Dating,55611356500
 Emerging adults,55611356500
 Mobile phones,55611356500
 Uses and gratifications,55611356500
Compressed sensing,57218886193
 Data-driven models,57218886193
 Koopman modes,57218886193
 Modeling,57218886193
 Physics-based models,57218886193
 Power system dynamics,57218886193
Compressed sensing,57210260262
 Data-driven models,57210260262
 Koopman modes,57210260262
 Modeling,57210260262
 Physics-based models,57210260262
 Power system dynamics,57210260262
Compressed sensing,6701777223
 Data-driven models,6701777223
 Koopman modes,6701777223
 Modeling,6701777223
 Physics-based models,6701777223
 Power system dynamics,6701777223
Compressed sensing,8448666000
 Data-driven models,8448666000
 Koopman modes,8448666000
 Modeling,8448666000
 Physics-based models,8448666000
 Power system dynamics,8448666000
Back face deformation,36149254500
 Ballistic impact,36149254500
 Body armor,36149254500
 Fiber Bragg grating,36149254500
 Kevlar,36149254500
Back face deformation,57191155872
 Ballistic impact,57191155872
 Body armor,57191155872
 Fiber Bragg grating,57191155872
 Kevlar,57191155872
Back face deformation,56681156600
 Ballistic impact,56681156600
 Body armor,56681156600
 Fiber Bragg grating,56681156600
 Kevlar,56681156600
Back face deformation,35088650000
 Ballistic impact,35088650000
 Body armor,35088650000
 Fiber Bragg grating,35088650000
 Kevlar,35088650000
Back face deformation,7201741468
 Ballistic impact,7201741468
 Body armor,7201741468
 Fiber Bragg grating,7201741468
 Kevlar,7201741468
Back face deformation,7402786794
 Ballistic impact,7402786794
 Body armor,7402786794
 Fiber Bragg grating,7402786794
 Kevlar,7402786794
Collaboration,57191822951
 Cybersickness,57191822951
 Immersive,57191822951
 Spatial awareness,57191822951
 Viewpoint,57191822951
 Viewpoint sharing,57191822951
 Virtual Reality,57191822951
Collaboration,56830076500
 Cybersickness,56830076500
 Immersive,56830076500
 Spatial awareness,56830076500
 Viewpoint,56830076500
 Viewpoint sharing,56830076500
 Virtual Reality,56830076500
Collaboration,57188654880
 Cybersickness,57188654880
 Immersive,57188654880
 Spatial awareness,57188654880
 Viewpoint,57188654880
 Viewpoint sharing,57188654880
 Virtual Reality,57188654880
Co-simulation,57192247939
 Cyber-physical systems,57192247939
 ICT irregularities,57192247939
 Probabilistic observability,57192247939
 State estimation,57192247939
Co-simulation,57218886193
 Cyber-physical systems,57218886193
 ICT irregularities,57218886193
 Probabilistic observability,57218886193
 State estimation,57218886193
Co-simulation,6701777223
 Cyber-physical systems,6701777223
 ICT irregularities,6701777223
 Probabilistic observability,6701777223
 State estimation,6701777223
Co-simulation,8448666000
 Cyber-physical systems,8448666000
 ICT irregularities,8448666000
 Probabilistic observability,8448666000
 State estimation,8448666000
biosensors,57218593962
 membrane,57218593962
 microfabrication,57218593962
 microfluidics,57218593962
 nanopores,57218593962
biosensors,57218593446
 membrane,57218593446
 microfabrication,57218593446
 microfluidics,57218593446
 nanopores,57218593446
biosensors,57218591162
 membrane,57218591162
 microfabrication,57218591162
 microfluidics,57218591162
 nanopores,57218591162
biosensors,57201772566
 membrane,57201772566
 microfabrication,57201772566
 microfluidics,57201772566
 nanopores,57201772566
biosensors,16422844400
 membrane,16422844400
 microfabrication,16422844400
 microfluidics,16422844400
 nanopores,16422844400
biosensors,7102975249
 membrane,7102975249
 microfabrication,7102975249
 microfluidics,7102975249
 nanopores,7102975249
Carbon nanotube,57193338296
