source_title,document_id
Advances in Intelligent Systems and Computing,0
Lecture Notes in Electrical Engineering,1
Journal of Hydraulic Engineering,2
Journal of Computing and Information Science in Engineering,3
Telematics and Informatics,4
Electric Power Systems Research,5
Optical Fiber Technology,6
Computers and Graphics (Pergamon),7
International Journal of Electrical Power and Energy Systems,8
Nanotechnology,9
Journal of Cleaner Production,10
Journal of Manufacturing Processes,11
IEEE Robotics and Automation Letters,12
Optical Fiber Technology,13
Computer Methods in Applied Mechanics and Engineering,14
IEEE Vehicular Technology Magazine,15
Journal of Nondestructive Evaluation,16
Production and Operations Management,17
Applied Thermal Engineering,18
JOM,19
Journal of Cleaner Production,20
Midwest Symposium on Circuits and Systems,21
"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",22
Scripta Materialia,23
Midwest Symposium on Circuits and Systems,24
IEEE Transactions on Aerospace and Electronic Systems,25
International Journal of Robotics Research,26
Journal of Water Process Engineering,27
Quality Engineering,28
"Journal of Mechanical Design, Transactions of the ASME",29
"Journal of Mechanical Design, Transactions of the ASME",584
Proceedings of the ASME Design Engineering Technical Conference,29
Proceedings of the ASME Design Engineering Technical Conference,584
IEEE/CAA Journal of Automatica Sinica,30
Journal of Biomechanical Engineering,31
Noise Control Engineering Journal,32
Mechanism and Machine Theory,33
Proceedings of the American Control Conference,34
IEEE Transactions on Nuclear Science,35
"IET Generation, Transmission and Distribution",36
Quality and Reliability Engineering International,37
IEEE Transactions on Aerospace and Electronic Systems,38
"Navigation, Journal of the Institute of Navigation",39
Journal of Science Education and Technology,40
Materials Science and Engineering A,41
Footwear Science,42
Advanced Materials Interfaces,43
Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,44
Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,45
"Journal of Mechanical Design, Transactions of the ASME",46
Journal of Micromechanics and Microengineering,47
Additive Manufacturing,48
Nano Research,49
"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2020",50
International Journal of Bifurcation and Chaos,51
Computer Methods in Applied Mechanics and Engineering,52
Electronics (Switzerland),53
Energies,54
Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,55
JOM,56
ACS Applied Bio Materials,57
SAE Technical Papers,58
"Journal of Mechanical Design, Transactions of the ASME",59
IEEE Robotics and Automation Letters,60
IEEE International Reliability Physics Symposium Proceedings,61
Micromachines,62
IEEE Antennas and Propagation Magazine,63
Physical Review Fluids,64
Journal of Bridge Engineering,65
ACS Applied Energy Materials,66
Drones,67
Applied Energy,68
Proceedings of the Custom Integrated Circuits Conference,69
International Journal of Machine Tools and Manufacture,70
Electronics (Switzerland),71
Electronics (Switzerland),72
"Sensors and Actuators, A: Physical",73
Journal of Manufacturing and Materials Processing,74
Mechanism and Machine Theory,75
Applied Energy,76
Computational Materials Science,77
Journal of Electromagnetic Waves and Applications,78
Journal of Microelectromechanical Systems,79
Journal of Materials Science,80
International Journal of Heat and Mass Transfer,81
Microporous and Mesoporous Materials,82
ISA Transactions,83
Journal of Energy Storage,84
IEEE Transactions on Aerospace and Electronic Systems,85
International Journal of Heat and Mass Transfer,86
Nature Biotechnology,87
Materials Science and Engineering A,88
Journal of Cleaner Production,89
Electronics Letters,90
"Journal of Biomaterials Science, Polymer Edition",91
Journal of Nanobiotechnology,92
AIAA Scitech 2020 Forum,93
Mechanisms and Machine Science,94
Journal of Composite Materials,95
Computing in Science and Engineering,96
Advances in Intelligent Systems and Computing,97
Advances in Intelligent Systems and Computing,98
Journal of Micromechanics and Microengineering,99
Proceedings - Annual Reliability and Maintainability Symposium,100
International Journal of Robotics Research,101
Computer-Aided Design and Applications,102
NDT and E International,103
AIAA Scitech 2020 Forum,104
Mechanisms and Machine Science,105
AIAA Journal,106
AIAA Journal,367
AIAA Scitech 2019 Forum,106
AIAA Scitech 2019 Forum,367
Transportation Research Record,107
Advances in Intelligent Systems and Computing,108
Journal of Dynamic Behavior of Materials,109
Journal of Aerospace Information Systems,110
Fluids,111
IEEE Transactions on Nuclear Science,112
IEEE Transactions on Nuclear Science,113
NDT and E International,114
Mechanism and Machine Theory,115
ISA Transactions,116
AIAA Journal,117
Transportation Research Record,118
IEEE Antennas and Wireless Propagation Letters,119
Journal of Fluid Mechanics,120
Journal of Aerospace Information Systems,121
IEEE Access,122
IEEE Transactions on Nuclear Science,123
Applied Mechanics Reviews,124
IEEE Journal of Oceanic Engineering,125
