keyword,document_id
Environment,0
 Goal(s),0
 Intelligent agents,0
 Proficiency,0
 Self-assessment,0
 SystemDrones,0
 Human engineering,0
 Intelligent systems,0
 Real time systems,0
 Security of data,0
 Autonomous systems,0
 Causal relationships,0
 Decision mechanism,0
 Dependency graphs,0
 Real-time application,0
 Self assessment,0
 Social robots,0
Computer-aided engineering,3
 Data-driven engineeringCompressors,3
 Data handling,3
 Structural design,3
 Compressor blades,3
 Computational costs,3
 Design space exploration,3
 Design variations,3
 Geometric variations,3
 Principal Components,3
 Stress variations,3
 Two-point correlation,3
 Machine design,3
Dating,4
 Emerging adults,4
 Mobile phones,4
 Uses and gratificationsEntertainment,4
 A-RINGS,4
 External pressures,4
 Romantic relationship,4
 User motivation,4
 Motivation,4
Compressed sensing,5
 Data-driven models,5
 Koopman modes,5
 Modeling,5
 Physics-based models,5
 Power system dynamicsAsynchronous generators,5
 Compressed sensing,5
 Computation theory,5
 Computational geometry,5
 Dynamic loads,5
 Dynamics,5
 Electric fault currents,5
 Large scale systems,5
 Computational data,5
 Computational differential geometry,5
 Doubly fed induction generators,5
 Information geometry,5
 Large-scale power systems,5
 Power system transients,5
 Transient phenomenon,5
 Two-step procedure,5
 Electric machine theory,5
Back face deformation,6
 Ballistic impact,6
 Body armor,6
 Fiber Bragg grating,6
 KevlarBallistics,6
 Coatings,6
 Fiber optic sensors,6
 Fibers,6
 Impact testing,6
 Weaving,6
 Backing materials,6
 Ballistic impact testing,6
 Ballistic Protection,6
 Fiber Bragg Grating Sensors,6
 High-velocity impact,6
 Repeated impact,6
 Strain information,6
 Strain response,6
 Fiber Bragg gratings,6
Collaboration,7
 Cybersickness,7
 Immersive,7
 Spatial awareness,7
 Viewpoint,7
 Viewpoint sharing,7
 Virtual RealityEconomic and social effects,7
 Location,7
 Collaborative environments,7
 Design environment,7
 Immersive virtual environments,7
 Immersive virtual reality,7
 Location identification,7
 Multiple transitions,7
 Specific component,7
 View locations,7
 Virtual reality,7
Co-simulation,8
 Cyber-physical systems,8
 ICT irregularities,8
 Probabilistic observability,8
 State estimationCyber Physical System,8
 Embedded systems,8
 Frequency estimation,8
 State estimation,8
 Bad data detections,8
 Cyber physical systems (CPSs),8
 Hybrid state estimation,8
 Information and Communication Technologies,8
 Measuring instruments,8
 Network observability,8
 Probabilistic extension,8
 Realistic communication,8
 Phasor measurement units,8
biosensors,9
 membrane,9
 microfabrication,9
 microfluidics,9
 nanoporesEtching,9
 Photoresists,9
 Polymers,9
 Capillary action,9
 Chemical vapor deposited,9
 Nanoscale solids,9
 Natural shapes,9
 Sacrificial etching,9
 Silicon substrates,9
 Solid-state membranes,9
 Suspended membranes,9
 Membranes,9
Carbon nanotube,10
 CO2 capture,10
 Life cycle assessment,10
 Payback period,10
 Solid amineAmines,10
 Carbon dioxide,10
 Carbon nanotubes,10
 Climate change,10
 Energy utilization,10
 Environmental technology,10
 Ethanolamines,10
 Investments,10
 Life cycle,10
 Specific heat,10
 Adsorption/desorption,10
 Covalently bonded,10
 High temperature,10
 Industrial methods,10
 Material synthesis,10
 Monoethanolamine,10
 Polyethyleneimine,10
 Preparation phasis,10
 Environmental impact,10
FSpW,11
 Refill friction stir spot welding,11
 RFSSW,11
 Temperature,11
 Tool lifeAerospace industry,11
 Aluminum alloys,11
 Aluminum coated steel,11
 Automotive industry,11
 Cleaning,11
 Spot welding,11
 Thermocouples,11
 Tool steel,11
 Welds,11
 Effective tool,11
 Friction stir spot welding,11
 High temperature,11
 Steel tools,11
 Thin sheet,11
 Tool materials,11
 Tool surfaces,11
 Weld temperature,11
 Friction stir welding,11
Cooperating robots,12
 multi-robot systems,12
 path planning for multiple mobile robots or agentsAgricultural robots,12
 Numerical methods,12
 Trees (mathematics),12
 Coordinate ascent,12
 Decentralized routing,12
" Intelligence , surveillance , and reconnaissances",12
 Limited communication,12
 Monte-Carlo tree searches,12
 Multiple autonomous vehicles,12
 Myopic algorithm,12
 Optimal solutions,12
 Autonomous vehicles,12
Fiber Bragg Grating,13
 High speed measurements,13
 Optical fiber sensorsArmor,13
 Ballistics,13
 Deformation,13
 Energy dissipation,13
 Failure (mechanical),13
 High speed cameras,13
 Backing materials,13
 Ballistic fabric,13
 Fabric deformations,13
 Face deformations,13
 Optical interrogation,13
 Spectral profile,13
 Strain behaviors,13
 Strain response,13
 Fiber Bragg gratings,13
Bézier extraction,14
 Dual basis,14
 Isogeometric analysis,14
 Locking,14
 Reissner–Mindlin,14
 ShellsDegrees of freedom (mechanics),14
 Extraction,14
 Functions,14
 Linear systems,14
 Quality control,14
 Strain,14
 Thin walled structures,14
 Coarse meshes,14
 Control meshes,14
 Geometrically nonlinear,14
 Interpolatory,14
 Mixed approach,14
 Orthogonality properties,14
 Shear and membrane locking,14
 Variational principles,14
 Locks (fasteners),14
Acoustic,16
 Concrete bridge deck,16
 Delamination,16
 Impact-echo,16
 SoundingBridge decks,16
