author_ids,title,source_title,article_no,cited_count,doi,abstract,document_type,keywords
"['57218202833', '7004904337', '7005513246']",Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Advances in Intelligent Systems and Computing,,,10.1007/978-3-030-51758-8_15,"Autonomous systems, although capable of performing complicated tasks much faster than humans, are brittle due to uncertainties encountered in most real-time applications. People supervising these systems often rely on information relayed by the system to make any decisions, which places a burden on the system to self-assess its proficiency and communicate the relevant information. Proficiency self-assessment benefits from an understanding of how well the models and decision mechanisms used by robot align with the world and a problem holder’s goals. This paper makes three contributions: (1) Identifying the importance of goal, system, and environment for proficiency assessment; (2) Completing the phrase “proficient ‹preposition›” using an understanding of proficiency span; and (3) Proposing the proficiency dependency graph to represent causal relationships that contribute to failures, which highlights how one can reason about their own proficiency given alterations in goal, system, and environment. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",Conference Paper,"['Environment', ' Goal(s)', ' Intelligent agents', ' Proficiency', ' Self-assessment', ' SystemDrones', ' Human engineering', ' Intelligent systems', ' Real time systems', ' Security of data', ' Autonomous systems', ' Causal relationships', ' Decision mechanism', ' Dependency graphs', ' Real-time application', ' Self assessment', ' Social robots']"
"['6508306234', '9277159100', '6507358470']",Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,Lecture Notes in Electrical Engineering,,,10.1007/978-3-030-58653-9_3,"Practice is of the essence in Engineering courses. A relevant question in control engineering education is: How to close the gap between theory and practice? Once subjects are introduced in theoretical classes, students want to know about its practical use. Thus, it is important to introduce theoretical control concepts with practical experiments, enabling students to easily test and validate the theory. An Arduino based temperature control laboratory (TCLab) is deployed in this study as a portable kit providing students with a simple and effective means to test some feedback control techniques. Teaching/learning experiments are proposed involving proportional, integral and derivative controllers with Feedforward and Cascade control structures. Preliminary results achieved in a Portuguese university are presented. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",Conference Paper,
"['53879700900', '26642910500']",Development of sediment management guidelines for small to medium reservoirs,Journal of Hydraulic Engineering, 02520004,,10.1061/(ASCE)HY.1943-7900.0001822,"Forum papers are thought-provoking opinion pieces or essays founded in fact, sometimes containing speculation, on a civil engineering topic of general interest and relevance to the readership of the journal. The views expressed in this Forum article do not necessarily reflect the views of ASCE or the Editorial Board of the journal. © 2020 American Society of Civil Engineers.",Review,
"['57204031131', '6602649851', '56830076500', '57204029674', '57204032253']",Structural design space exploration using principal component analysis,Journal of Computing and Information Science in Engineering, 061014,,10.1115/1.4047428,"Design space exploration (DSE) is the process whereby a designer seeks to understand some results across a set of design variations. Structural DSE of turbomachinery compressor blades is often challenging because the large number of design variables make it difficult to learn the effect that each variable has upon the stress contours. Principal component analysis (PCA) of the stress contours is used as a way to understand how the stress contours change over the design space. Two methods are introduced to address the challenge of understanding how the stress changes over a large number of variables. First, a two-point correlation is applied to relate the design variables to the scores of each principal component. Second, a coupling of the stress and coordinate location of each node in PCA is developed which also indicates how the stress variations relate to geometric variations. These provide insight to how design variables influence the stress. It is shown how these methods use PCA as DSE tools to better explore the structural design space of compressor blades. Better DSE can improve compressor blades and the computational cost needed for their design. Copyright © 2020 by ASME",Article,"['Computer-aided engineering', ' Data-driven engineeringCompressors', ' Data handling', ' Structural design', ' Compressor blades', ' Computational costs', ' Design space exploration', ' Design variations', ' Geometric variations', ' Principal Components', ' Stress variations', ' Two-point correlation', ' Machine design']"
"['57217149830', '57217149403', '57217145377', '57217146534', '57217147399', '57217147006', '57210571665', '55611356500']",Religion-focused dating apps: A Q methodology study on the uses of mutual,Telematics and Informatics, 101448,1.0,10.1016/j.tele.2020.101448,"Dating apps have become an increasingly viable option for individuals seeking interpersonal romantic relationships. While there is significant research regarding user motivation on dating apps such as Bumble, Tinder, and Match.com, there is no published research that discusses the motivations of Mutual app users. Developed as a dating app to target members of The Church of Jesus Christ of Latter-Day Saints, Mutual allows users to find potential mates who share their religious background and specify their relationship readiness (from “Into Dating I Guess” to “Ready for a Ring”). This research aims to illuminate the various motivations, attitudes, and opinions of Mutual app users through Q methodology, which identifies perceptual groups among homogeneous populations through a factor analysis of participants’ agreement with similar statements regarding Mutual use. Findings indicated four factor groups: the Relationship Readies (i.e., those serious about dating), the Swipeaholics (i.e., those looking for entertainment), the Faithless (i.e., those who felt pressured to use Mutual), and the Eligible Optimists (i.e., those who saw the app as a convenient, entertaining way to date). Different from other research on dating apps, this study indicates that people may use a niche religion-focused dating app to find individuals with similar moral values or due to external pressure from others. Results warrant further investigation into niche dating apps. © 2020 Elsevier Ltd",Article,"['Dating', ' Emerging adults', ' Mobile phones', ' Uses and gratificationsEntertainment', ' A-RINGS', ' External pressures', ' Romantic relationship', ' User motivation', ' Motivation']"
"['57218886193', '57210260262', '6701777223', '8448666000']",Interleaving physics- and data-driven models for power system transient dynamics,Electric Power Systems Research, 106824,,10.1016/j.epsr.2020.106824,"The paper explores interleaved and coordinated refinement of physics- and data-driven models in describing transient phenomena in large-scale power systems. We develop and study an integrated analytical and computational data-driven gray box environment needed to achieve this aim. Main ingredients include computational differential geometry-based model reduction, optimization-based compressed sensing, and a finite approximation of the Koopman operator. The proposed two-step procedure (the model reduction by differential geometric (information geometry) tools, and data refinement by the compressed sensing and Koopman theory based dynamics prediction) is illustrated on the multi-machine benchmark example of IEEE 14-bus system with renewable sources, where the results are shown for doubly-fed induction generator (DFIG) with local measurements in the connection point. The algorithm is directly applicable to identification of other dynamic components (for example, dynamic loads). © 2020 Elsevier B.V.",Article,"['Compressed sensing', ' Data-driven models', ' Koopman modes', ' Modeling', ' Physics-based models', ' Power system dynamicsAsynchronous generators', ' Compressed sensing', ' Computation theory', ' Computational geometry', ' Dynamic loads', ' Dynamics', ' Electric fault currents', ' Large scale systems', ' Computational data', ' Computational differential geometry', ' Doubly fed induction generators', ' Information geometry', ' Large-scale power systems', ' Power system transients', ' Transient phenomenon', ' Two-step procedure', ' Electric machine theory']"
"['36149254500', '57191155872', '56681156600', '35088650000', '7201741468', '7402786794']",Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,Optical Fiber Technology, 102356,,10.1016/j.yofte.2020.102356,"This research demonstrates that fiber Bragg grating (FBG) strain sensors can survive and provide useful strain information when integrated into a woven fabric subjected to ballistic impact testing. In this work, FBGs were integrated into a single-layer, Kevlar® fabric, sensing mat, placed between a 30-layer Kevlar® fabric shoot pack and clay backing material, and then impacted with an 8.23 g, 12.69 mm diameter, steel ball bearing at velocities up to 285 m/s. Three different optical fiber types, with differing fiber coatings and fiber diameters, were tested. The FBG strain response was determined from the full-spectrum FBG response which was interrogated at 100 kHz throughout the impact event. The difference in FBG strain response for the different coatings and fiber diameters were compared. Additionally, the degradation of the coatings after repeated impacts were visually characterized, showing that smaller diameter fibers behaved better with a more elastic coating. © 2020 Elsevier Inc.",Article,"['Back face deformation', ' Ballistic impact', ' Body armor', ' Fiber Bragg grating', ' KevlarBallistics', ' Coatings', ' Fiber optic sensors', ' Fibers', ' Impact testing', ' Weaving', ' Backing materials', ' Ballistic impact testing', ' Ballistic Protection', ' Fiber Bragg Grating Sensors', ' High-velocity impact', ' Repeated impact', ' Strain information', ' Strain response', ' Fiber Bragg gratings']"
"['57191822951', '56830076500', '57188654880']",The effects of transition style for collaborative view sharing in immersive Virtual Reality,Computers and Graphics (Pergamon),,,10.1016/j.cag.2020.08.003,"New low-cost Virtual Reality (VR) technology is enabling large numbers of engineers and designers to be outfitted with VR tools. This, in turn, is making feasible new tools such as immersive, collaborative, design environments that reflect the collaborative environment of drafting tables while still providing all the power of modern, computer-based, design tools. However, before such an environment can be fully realized, basic issues surrounding collaboration in VR such as cybersickness and disorientation must be more fully addressed. This work presents the results of an experimental study conducted to characterize the trade-offs between different styles of transitioning collaborators to a shared view in an immersive virtual environment. The experimental task consisted of asking participants to identify in which quadrant of the car specific components were located. Quadrant identification was performed after a participant's virtual location was transitioned to a shared view location focused on the component to identify. The study was conducted with 45 participants who provided 1890 transition response datapoints. Analysis of these results suggests that, in many cases, collaborators are willing to experience some mild cybersickness in order to reduce their disorientation and improve both confidence and accuracy of component location identification. The results also support the recommendation that the best practice is to provide support for multiple transition styles and allow collaborators to select their preference. © 2020 Elsevier Ltd",Article,"['Collaboration', ' Cybersickness', ' Immersive', ' Spatial awareness', ' Viewpoint', ' Viewpoint sharing', ' Virtual RealityEconomic and social effects', ' Location', ' Collaborative environments', ' Design environment', ' Immersive virtual environments', ' Immersive virtual reality', ' Location identification', ' Multiple transitions', ' Specific component', ' View locations', ' Virtual reality']"
"['57192247939', '57218886193', '6701777223', '8448666000']",Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,International Journal of Electrical Power and Energy Systems, 106179,,10.1016/j.ijepes.2020.106179,"This paper proposes a probabilistic extension to flexible hybrid state estimation (FHSE) for cyber-physical systems (CPSs). The main goal of the algorithm is improvement of the system state tracking when realistic communications are taken into account, by optimizing information and communication technology (ICT) usage. These advancements result in: 1) coping with ICT outages and inevitable irregularities (delay, packet drop and bad measurements); 2) determining the optimized state estimation execution frequencies based on expected measurement refresh times. Additionally, information about CPSs is gathered from both the phasor measurement units (PMU) and SCADA-based measurements. This measurement transfer introduces two network observability types, which split the system into observable (White) and unobservable (Grey) areas, based on 1) deployed measuring instruments (MIs) and 2) received measurements. A two-step bad data detection (BDD) method is introduced for ICT irregularities and outages. The proposed algorithm benefits are shown on two IEEE test cases with time-varying load/generation: 14-bus and 300-bus. © 2020 Elsevier Ltd",Article,"['Co-simulation', ' Cyber-physical systems', ' ICT irregularities', ' Probabilistic observability', ' State estimationCyber Physical System', ' Embedded systems', ' Frequency estimation', ' State estimation', ' Bad data detections', ' Cyber physical systems (CPSs)', ' Hybrid state estimation', ' Information and Communication Technologies', ' Measuring instruments', ' Network observability', ' Probabilistic extension', ' Realistic communication', ' Phasor measurement units']"
"['57218593962', '57218593446', '57218591162', '57201772566', '16422844400', '7102975249']",Solid-state membranes formed on natural menisci,Nanotechnology, 445303,,10.1088/1361-6528/aba711,"We present a method to create robust, nanoscale solid-state membranes using the natural shape of a liquid meniscus as a template. A narrow, open channel is etched into a silicon substrate and then a photoresist polymer is introduced into the channel through spontaneous capillary action. The natural concave meniscus formed by the polymer is then covered by a thin chemical vapor deposited membrane. The polymer is removed by sacrificial etching, leaving behind a suspended membrane. Membranes as large as 20 μm by 9 mm can be fabricated with a thickness as low as 50 nm. © 2020 IOP Publishing Ltd.",Article,"['biosensors', ' membrane', ' microfabrication', ' microfluidics', ' nanoporesEtching', ' Photoresists', ' Polymers', ' Capillary action', ' Chemical vapor deposited', ' Nanoscale solids', ' Natural shapes', ' Sacrificial etching', ' Silicon substrates', ' Solid-state membranes', ' Suspended membranes', ' Membranes']"
