year,name,volume
2021,Advances in Intelligent Systems and Computing,1210 AISC
2021,Lecture Notes in Electrical Engineering,695 LNEE
2020,Journal of Hydraulic Engineering,146
2020,Journal of Computing and Information Science in Engineering,20
2020,Telematics and Informatics,55
2020,Electric Power Systems Research,189
2020,Optical Fiber Technology,60
2020,Computers and Graphics (Pergamon),92
2020,International Journal of Electrical Power and Energy Systems,122
2020,Nanotechnology,31
2020,Journal of Cleaner Production,270
2020,Journal of Manufacturing Processes,58
2020,IEEE Robotics and Automation Letters,5
2020,Optical Fiber Technology,59
2020,Computer Methods in Applied Mechanics and Engineering,370
2020,IEEE Vehicular Technology Magazine,15
2020,Journal of Nondestructive Evaluation,39
2020,Production and Operations Management,29
2020,Applied Thermal Engineering,178
2020,JOM,72
2020,Journal of Cleaner Production,265
2020,Midwest Symposium on Circuits and Systems,2020-August
2020,"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",
2020,Scripta Materialia,185
2020,IEEE Transactions on Aerospace and Electronic Systems,56
2020,International Journal of Robotics Research,39
2020,Journal of Water Process Engineering,36
2020,Quality Engineering,32
2020,"Journal of Mechanical Design, Transactions of the ASME",142
2020,IEEE/CAA Journal of Automatica Sinica,7
2020,Journal of Biomechanical Engineering,142
2020,Noise Control Engineering Journal,68
2020,Mechanism and Machine Theory,149
2020,Proceedings of the American Control Conference,2020-July
2020,IEEE Transactions on Nuclear Science,67
2020,"IET Generation, Transmission and Distribution",14
2020,Quality and Reliability Engineering International,36
2020,"Navigation, Journal of the Institute of Navigation",67
2020,Journal of Science Education and Technology,29
2020,Materials Science and Engineering A,785
2020,Footwear Science,12
2020,Advanced Materials Interfaces,7
2020,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,2020-May
2020,Journal of Micromechanics and Microengineering,30
2020,Additive Manufacturing,33
2020,Nano Research,13
2020,"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2020",
2020,International Journal of Bifurcation and Chaos,30
2020,Computer Methods in Applied Mechanics and Engineering,363
2020,Electronics (Switzerland),9
2020,Energies,13
2020,ACS Applied Bio Materials,3
2020,SAE Technical Papers,2020-April
2020,IEEE International Reliability Physics Symposium Proceedings,2020-April
2020,Micromachines,11
2020,IEEE Antennas and Propagation Magazine,62
2020,Physical Review Fluids,5
2020,Journal of Bridge Engineering,25
2020,ACS Applied Energy Materials,3
2020,Drones,4
2020,Applied Energy,261
2020,Proceedings of the Custom Integrated Circuits Conference,2020-March
2020,International Journal of Machine Tools and Manufacture,150
2020,"Sensors and Actuators, A: Physical",303
2020,Journal of Manufacturing and Materials Processing,4
2020,Mechanism and Machine Theory,145
2020,Applied Energy,260
2020,Computational Materials Science,173
2020,Journal of Electromagnetic Waves and Applications,34
2020,Journal of Microelectromechanical Systems,29
2020,Journal of Materials Science,55
2020,International Journal of Heat and Mass Transfer,148
2020,Microporous and Mesoporous Materials,293
2020,ISA Transactions,97
2020,Journal of Energy Storage,27
2020,International Journal of Heat and Mass Transfer,147
2020,Nature Biotechnology,38
2020,Materials Science and Engineering A,772
2020,Journal of Cleaner Production,244
2020,Electronics Letters,56
2020,"Journal of Biomaterials Science, Polymer Edition",31
2020,Journal of Nanobiotechnology,18
2020,AIAA Scitech 2020 Forum,1 PartF
2020,Mechanisms and Machine Science,83
2020,Journal of Composite Materials,
2020,Computing in Science and Engineering,
2020,Advances in Intelligent Systems and Computing,1202 AISC
2020,Advances in Intelligent Systems and Computing,1229 AISC
2020,Proceedings - Annual Reliability and Maintainability Symposium,2020-January
2020,International Journal of Robotics Research,
2020,Computer-Aided Design and Applications,17
2020,NDT and E International,109
2020,AIAA Journal,58
2020,Transportation Research Record,2674
2020,Advances in Intelligent Systems and Computing,1228 AISC
2020,Journal of Dynamic Behavior of Materials,
2020,Journal of Aerospace Information Systems,17
2020,Fluids,5
2020,Mechanism and Machine Theory,143
2020,ISA Transactions,
2020,IEEE Antennas and Wireless Propagation Letters,19
2020,Journal of Fluid Mechanics,
2020,IEEE Access,8
2020,Applied Mechanics Reviews,72
2020,IEEE Journal of Oceanic Engineering,45
2020,Conference Proceedings of the Society for Experimental Mechanics Series,
2020,IEEE Transactions on Circuits and Systems I: Regular Papers,
2020,Proceedings of SPIE - The International Society for Optical Engineering,11296
2020,Geotechnical Special Publication,2020-February
2020,Journal of Operations Management,66
2020,IEEE Aerospace and Electronic Systems Magazine,35
2019,Archive for Rational Mechanics and Analysis,234
2019,Synthetic and Systems Biotechnology,4
2019,Mechanism and Machine Theory,142
2019,"Journal of Fluids Engineering, Transactions of the ASME",141
2019,Noise Control Engineering Journal,67
2019,"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",
2019,Journal of Composite Materials,53
2019,Computer Methods in Applied Mechanics and Engineering,357
2019,"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings",
2019,npj Computational Materials,5
2019,"DATA 2019 - Proceedings of the 2nd ACM Workshop on Data Acquisition To Analysis, Part of SenSys 2019",
2019,IEEE Transactions on Antennas and Propagation,67
2019,Indoor Air,29
2019,International Journal of Heat and Mass Transfer,143
2019,Proceedings - IEEE Military Communications Conference MILCOM,2019-November
2019,Electronics (Switzerland),8
2019,IEEE Security and Privacy,17
2019,IEEE Transactions on Automatic Control,64
2019,Signal Processing: Image Communication,79
2019,Smart Materials and Structures,28
2019,International Journal of Modelling and Simulation,39
2019,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",2019-October
2019,"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",
2019,Journal of Construction Engineering and Management,145
2019,IEEE Transactions on Aerospace and Electronic Systems,55
2019,"51st North American Power Symposium, NAPS 2019",
2019,Mechanism and Machine Theory,140
2019,Soil Dynamics and Earthquake Engineering,125
2019,Journal of Micromechanics and Microengineering,29
2019,Flexible and Printed Electronics,4
