,,0
0,0,Environment
0,1, Goal(s)
0,2, Intelligent agents
0,3, Proficiency
0,4, Self-assessment
0,5, System
3,0,Computer-aided engineering
3,1, Data-driven engineering
4,0,Dating
4,1, Emerging adults
4,2, Mobile phones
4,3, Uses and gratifications
5,0,Compressed sensing
5,1, Data-driven models
5,2, Koopman modes
5,3, Modeling
5,4, Physics-based models
5,5, Power system dynamics
6,0,Back face deformation
6,1, Ballistic impact
6,2, Body armor
6,3, Fiber Bragg grating
6,4, Kevlar
7,0,Collaboration
7,1, Cybersickness
7,2, Immersive
7,3, Spatial awareness
7,4, Viewpoint
7,5, Viewpoint sharing
7,6, Virtual Reality
8,0,Co-simulation
8,1, Cyber-physical systems
8,2, ICT irregularities
8,3, Probabilistic observability
8,4, State estimation
9,0,biosensors
9,1, membrane
9,2, microfabrication
9,3, microfluidics
9,4, nanopores
10,0,Carbon nanotube
10,1, CO2 capture
10,2, Life cycle assessment
10,3, Payback period
10,4, Solid amine
11,0,FSpW
11,1, Refill friction stir spot welding
11,2, RFSSW
11,3, Temperature
11,4, Tool life
12,0,Cooperating robots
12,1, multi-robot systems
12,2, path planning for multiple mobile robots or agents
13,0,Fiber Bragg Grating
13,1, High speed measurements
13,2, Optical fiber sensors
14,0,Bézier extraction
14,1, Dual basis
14,2, Isogeometric analysis
14,3, Locking
14,4, Reissner–Mindlin
14,5, Shells
16,0,Acoustic
16,1, Concrete bridge deck
16,2, Delamination
16,3, Impact-echo
16,4, Sounding
18,0,Active thermal control
18,1, Deployable radiator
18,2, Spacecraft thermal control
20,0,Catalysis
20,1, CO2 reduction
20,2, Coal
20,3, Gasification
20,4, Ideal syngas
20,5, Pyrolysis
21,0,bandpass filter
21,1, biquad filter
21,2, particle detector
21,3, pulse shaping
21,4, Sallen-Key
21,5, Shaper
22,0,content
22,1, deep learning
22,2, metadata
22,3, Research paper
23,0,Atomistic simulations
23,1, Grain boundaries
23,2, Nickel
24,0,analog-to-digital converter (ADC)
24,1, delta sigma (?S)
24,2, incremental data converters
24,3, multi stage noise shaping (MASH)
24,4, multi-step
24,5, time-domain analysis
24,6, two step
25,0,Cooperative navigation
25,1, direction-of-arrival estimation
25,2, MIMO systems
25,3, pose estimation
25,4, relative attitude estimation
25,5, unmanned aerial vehicles
26,0,aerial robotics
26,1, multiplicative extended Kalman filter
26,2, Sensor fusion
26,3, vision-aided inertial navigation
29,0,Design for humans
29,1, Design for X
29,2, Product development
29,3, Sustainable design
29,4, User-centered design
30,0,Aerial robotics
30,1, epipolar geometry
30,2, multi-target tracking
30,4, unmanned aircraft systems
30,5, vision-based flight
31,0,Electromagnetic sensors
31,1, In vivo measurements
31,2, Inverse kinematics
31,3, ISB
31,4, Landmark
31,5, Postural
31,6, Sensor-to-body
31,7, Sensor-to-segment
31,8, Upper limb
31,9, Whole arm
33,0,Compact mechanism
33,1, Conical surface
33,2, Developable mechanism
33,3, Spherical mechanism
35,0,Field-programmable gate array (FPGA)
35,1, neural networks
35,2, quantization
35,3, reliability
37,0,aliased effects
37,1, CME analysis
37,2, confounding
37,3, effect heredity
37,4, effect sparsity
37,5, hierarchical ordering
38,0,Aeronautical telemetry
38,1, continuous phase modulation (CPM)
38,2, frequency-selective multipath
38,3, shaped offset QPSK (SOQPSK)
38,4, sparse channel estimation
41,0,Additive manufacturing
41,1, Dislocation structures
41,2, Elastic strain
41,3, Microstructural evolution
41,4, Nickel superalloys
41,5, Rapid solidification
43,0,additive manufacturing
43,1, thin liquid films
48,0,Binder Jetting
48,1, Inkjet printing
48,2, Saturation
48,3, Stainless Steel
49,0,current-voltage measurement
49,1, DNA nanofabrication
49,2, electroless plating
49,3, gold nanorods
49,4, nanoelectronics
49,5, tellurium nanorods
50,0,Data structure
50,1, Genomics
50,2, K-mer
50,3, Parallel programming
51,0,complex dynamics
51,1, Dynamic network
51,2, intrinsic stability
51,3, recurrent neural network
51,4, specialization
51,5, spectral properties
52,0,Biharmonic problem
52,1, C1 continuity
52,3, Dual mortar method
52,4, Enriched Bézier dual basis
52,5, Patch coupling
54,0,Discrete-ordinates method
54,1, Experiments and modelling
54,2, Radiative heat transfer
54,3, Rotary kiln
57,0,3D printing
57,1, biocompatibility
57,2, cytotoxicity
57,4, resin
57,5, spheroid
59,2, Product design
60,0,control architectures and programming
60,1, deep learning in robotics and automation
60,2, model learning for control
60,3, Optimization and optimal control
61,0,electronic design automation
61,1, fault detection
61,2, radiation effects
61,3, redundancy
62,0,3D hydrodynamic focusing
62,1, Biosensor
62,2, Lab-on-a-chip
62,3, Liquid-core waveguide
62,4, Microfluidic
62,5, Microscale channel
62,6, Optofluidic
62,7, Reservoir effect
62,8, Single layer
66,0,Co-Sn alloy
66,1, combinatorial
66,2, high-throughput characterization
66,3, Li-metal battery
66,4, protection layer
68,0,Carbohydrate fuel cell
68,1, Glucose fuel cell
68,2, Glucose oxidation
68,3, Oxidation efficiency
